Url,Ref,eventType,stack,clientdate,errorType,message,MacId,errorName,DataType,SessionId,accountName,workspace
https://www.cea.com.br/ofertas/ofertas-por-24-horas,https://www.cea.com.br/,error,"Error
    at le (https://activity-flow.vtex.com/af/af.js:1:18366)",1.727802533623e+12,source,,66c87aa0-30c1-456c-8b12-97b5966963d6,Error,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/ofertas/ofertas-por-24-horas,https://www.cea.com.br/,error,"Error
    at le (https://activity-flow.vtex.com/af/af.js:1:18366)",1.727802556339e+12,source,,66c87aa0-30c1-456c-8b12-97b5966963d6,Error,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/ofertas/ofertas-por-24-horas,https://www.cea.com.br/,error,"Error
    at le (https://activity-flow.vtex.com/af/af.js:1:18366)",1.727802556425e+12,source,,66c87aa0-30c1-456c-8b12-97b5966963d6,Error,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/ofertas/ofertas-por-24-horas,https://www.cea.com.br/,error,"UnhandledRejection: Cannot read properties of undefined (reading 'isAuthenticated')
    at https://cea.vtexassets.com/_v/public/assets/v1/published/bundle/public/react/asset.min.js?v=1&files=cea.cea-store-theme@0.272.5,1,Footer,NotIndexedGoogle,CountdownBar,HeadingTagH1,4,BannerTarja,WarningText,Highlight,3,Display,CustomGlobalContextProvider,2,SeoFooterText,DataLayerEvents,SkipToContent,SEO,HeaderWrapper,HeaderWrapperContextProvider,MCEATopBarSwitcher,Login&async=2&workspace=master:24:5708",1.727802557905e+12,source,Cannot read properties of undefined (reading 'isAuthenticated'),66c87aa0-30c1-456c-8b12-97b5966963d6,UnhandledRejection,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/ofertas/ofertas-por-24-horas,https://www.cea.com.br/,error,"UnhandledRejection: Unexpected end of JSON input
    at https://www.cea.com.br/ofertas/ofertas-por-24-horas:536:27",1.727802560078e+12,source,Unexpected end of JSON input,66c87aa0-30c1-456c-8b12-97b5966963d6,UnhandledRejection,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,https://www.cea.com.br/,error,"UnhandledRejection: Cannot read properties of undefined (reading 'isAuthenticated')
    at https://cea.vtexassets.com/_v/public/assets/v1/published/bundle/public/react/asset.min.js?v=1&files=cea.cea-store-theme@0.272.5,1,Footer,NotIndexedGoogle,CountdownBar,HeadingTagH1,4,BannerTarja,WarningText,Highlight,3,Display,CustomGlobalContextProvider,2,SeoFooterText,DataLayerEvents,SkipToContent,SEO,HeaderWrapper,HeaderWrapperContextProvider,MCEATopBarSwitcher,Login&async=2&workspace=master:24:5708",1.727802594099e+12,source,Cannot read properties of undefined (reading 'isAuthenticated'),66c87aa0-30c1-456c-8b12-97b5966963d6,UnhandledRejection,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,https://www.cea.com.br/,error,"UnhandledRejection: Unexpected end of JSON input
    at https://www.cea.com.br/ofertas/ofertas-por-24-horas:536:27",1.727802596256e+12,source,Unexpected end of JSON input,66c87aa0-30c1-456c-8b12-97b5966963d6,UnhandledRejection,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,https://www.cea.com.br/,error,"Error
    at le (https://activity-flow.vtex.com/af/af.js:1:18366)",1.72780259823e+12,source,,66c87aa0-30c1-456c-8b12-97b5966963d6,Error,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,https://www.cea.com.br/,error,"Error: Script error.
    at le (https://activity-flow.vtex.com/af/af.js:1:18366)",1.727802610504e+12,source,Script error.,66c87aa0-30c1-456c-8b12-97b5966963d6,Error,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/,https://www.cea.com.br/,error,"UnhandledRejection: Cannot read properties of undefined (reading 'isAuthenticated')
    at https://cea.vtexassets.com/_v/public/assets/v1/published/bundle/public/react/asset.min.js?v=1&files=cea.cea-store-theme@0.272.5,1,Footer,NotIndexedGoogle,CountdownBar,HeadingTagH1,4,BannerTarja,WarningText,Highlight,3,Display,CustomGlobalContextProvider,2,SeoFooterText,DataLayerEvents,SkipToContent,SEO,HeaderWrapper,HeaderWrapperContextProvider,MCEATopBarSwitcher,Login&async=2&workspace=master:24:5708",1.727802623931e+12,source,Cannot read properties of undefined (reading 'isAuthenticated'),66c87aa0-30c1-456c-8b12-97b5966963d6,UnhandledRejection,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/,https://www.cea.com.br/,error,"UnhandledRejection: Unexpected end of JSON input
    at https://www.cea.com.br/ofertas/ofertas-por-24-horas:536:27",1.727802624816e+12,source,Unexpected end of JSON input,66c87aa0-30c1-456c-8b12-97b5966963d6,UnhandledRejection,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
https://www.cea.com.br/,https://www.cea.com.br/,error,"Error: Script error.
    at le (https://activity-flow.vtex.com/af/af.js:1:18366)",1.727802636466e+12,source,Script error.,66c87aa0-30c1-456c-8b12-97b5966963d6,Error,Event,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,master%3A-
